Q=[
[ 41.000000,	258.000000,	52.000000,	14.000000,	5.000000,	]
[ 18.000000,	79.000000,	19.000000,	5.000000,	2.000000,	]
[ 18.000000,	72.000000,	12.000000,	3.000000,	2.000000,	]
[ 22.000000,	115.000000,	14.000000,	3.000000,	2.000000,	]
[ 18.000000,	119.000000,	29.000000,	10.000000,	2.000000,	]
[ 27.000000,	166.000000,	49.000000,	11.000000,	4.000000,	]
[ 27.000000,	86.000000,	12.000000,	5.000000,	2.000000,	]
[ 15.000000,	76.000000,	12.000000,	6.000000,	2.000000,	]
[ 14.000000,	131.000000,	27.000000,	3.000000,	2.000000,	]
[ 24.000000,	99.000000,	12.000000,	3.000000,	2.000000,	]
[ 31.000000,	189.000000,	27.000000,	4.000000,	2.000000,	]
[ 18.000000,	99.000000,	28.000000,	15.000000,	2.000000,	]
[ 15.000000,	77.000000,	20.000000,	3.000000,	2.000000,	]
[ 35.000000,	150.000000,	23.000000,	7.000000,	2.000000,	]
[ 14.000000,	77.000000,	14.000000,	6.000000,	2.000000,	]
[ 29.000000,	171.000000,	38.000000,	7.000000,	2.000000,	]
[ 11.000000,	79.000000,	12.000000,	3.000000,	2.000000,	]
[ 21.000000,	86.000000,	12.000000,	3.000000,	2.000000,	]
[ 17.000000,	94.000000,	16.000000,	7.000000,	2.000000,	]
[ 19.000000,	111.000000,	12.000000,	3.000000,	2.000000,	]
[ 34.000000,	117.000000,	15.000000,	9.000000,	2.000000,	]
[ 19.000000,	111.000000,	27.000000,	6.000000,	2.000000,	]
[ 22.000000,	85.000000,	22.000000,	6.000000,	2.000000,	]
[ 16.000000,	83.000000,	19.000000,	5.000000,	2.000000,	]
[ 13.000000,	76.000000,	15.000000,	3.000000,	2.000000,	]
[ 23.000000,	101.000000,	15.000000,	7.000000,	2.000000,	]
[ 11.000000,	78.000000,	16.000000,	3.000000,	2.000000,	]
[ 16.000000,	83.000000,	12.000000,	6.000000,	2.000000,	]
[ 11.000000,	77.000000,	12.000000,	3.000000,	2.000000,	]
[ 14.000000,	74.000000,	14.000000,	6.000000,	2.000000,	]
[ 11.000000,	72.000000,	12.000000,	3.000000,	2.000000,	]
[ 11.000000,	72.000000,	12.000000,	3.000000,	2.000000,	]
[ 11.000000,	72.000000,	12.000000,	3.000000,	2.000000,	]
[ 11.000000,	72.000000,	12.000000,	3.000000,	2.000000,	]
[ 23.000000,	100.000000,	15.000000,	6.000000,	2.000000,	]
[ 35.000000,	104.000000,	12.000000,	3.000000,	10.000000,	]
[ 11.000000,	72.000000,	12.000000,	3.000000,	2.000000,	]
[ 11.000000,	72.000000,	12.000000,	3.000000,	2.000000,	]
[ 21.000000,	93.000000,	12.000000,	3.000000,	2.000000,	]
[ 41.000000,	136.000000,	21.000000,	3.000000,	2.000000,	]
];








D=[
[ 0.000000,	728.150269,	1627.380249,	1801.045532,	1220.888794,	462.178101,	2169.624756,	2199.841064,	1537.522949,	2178.081787,	1729.165405,	1299.188232,	1091.440308,	2101.436035,	2221.579346,	1398.265747,	2270.442139,	739.531799,	1530.286133,	1475.097290,	1640.665894,	754.293457,	1296.030884,	1954.239624,	1539.248535,	1289.810303,	728.150269,	1283.844482,	2114.035645,	788.480286,	1828.685669,	1451.879272,	1343.793823,	539.918518,	1293.239746,	1424.512451,	2193.022705,	1831.169556,	659.471558,	1964.782104,	]
[ 728.150269,	0.000000,	2049.903076,	2250.923584,	704.782959,	294.518921,	2571.170898,	2610.596436,	2119.501465,	2609.004150,	2299.028809,	1586.057007,	521.355957,	2546.966553,	2650.363037,	1941.698975,	2680.442871,	96.468300,	2110.094727,	1971.913696,	2048.091064,	59.527020,	1583.811401,	2426.395264,	2122.070312,	1568.807129,	0.000000,	1569.787109,	2555.820068,	1477.160645,	2362.916260,	1976.359009,	1857.055786,	239.932465,	1580.078735,	1752.597778,	2607.046875,	2365.174072,	937.396118,	2406.555664,	]
[ 1627.380249,	2049.903076,	0.000000,	208.546082,	1925.038940,	1948.671265,	542.395996,	574.364868,	536.863159,	561.800659,	542.228638,	526.150146,	1971.056152,	497.075653,	604.269958,	412.176788,	645.248352,	1984.833862,	527.392578,	253.593918,	44.964214,	2027.895996,	526.725952,	392.238068,	540.467896,	547.496887,	2049.903076,	538.966431,	506.028137,	1107.288940,	462.511322,	339.326691,	361.482880,	2014.444580,	530.488647,	356.723297,	568.472595,	463.326538,	1113.168335,	356.746704,	]
[ 1801.045532,	2250.923584,	208.546082,	0.000000,	2132.908203,	2140.175537,	387.160431,	407.507904,	516.264893,	377.364532,	446.583740,	733.001465,	2179.586182,	301.573975,	420.930237,	475.354218,	476.014709,	2187.709473,	510.433533,	341.710632,	227.196747,	2230.357910,	733.716370,	183.841660,	518.917725,	754.266907,	2250.923584,	746.214539,	313.347565,	1220.381104,	316.424500,	400.192596,	475.339661,	2207.625244,	737.516968,	560.884094,	398.758240,	316.255737,	1313.528442,	163.800720,	]
[ 1220.888794,	704.782959,	1925.038940,	2132.908203,	0.000000,	941.791321,	2370.385498,	2416.501953,	2176.712891,	2437.079346,	2322.649170,	1400.433228,	187.983170,	2396.403809,	2472.818115,	1969.363647,	2480.084717,	617.946411,	2165.329834,	1940.102539,	1907.270874,	645.353760,	1399.577393,	2316.710205,	2180.167725,	1379.308838,	704.782959,	1386.873901,	2400.315430,	1771.116211,	2334.161377,	1976.606201,	1860.015625,	919.054260,	1395.746582,	1574.794922,	2416.773438,	2335.929688,	983.160339,	2264.119141,	]
[ 462.178101,	294.518921,	1948.671265,	2140.175537,	941.791321,	0.000000,	2485.074219,	2520.786865,	1946.152466,	2510.194336,	2132.978760,	1532.412109,	772.599915,	2441.061035,	2552.860596,	1785.002197,	2591.572998,	343.842346,	1937.734131,	1836.835815,	1953.374512,	338.531097,	1529.728638,	2307.372070,	1948.327271,	1517.894531,	294.518921,	1516.055908,	2451.677246,	1242.514893,	2214.537354,	1828.799194,	1713.031250,	78.350052,	1526.276123,	1686.116577,	2515.755615,	2216.920166,	853.334229,	2301.039307,	]
[ 2169.624756,	2571.170898,	542.395996,	387.160431,	2370.385498,	2485.074219,	0.000000,	48.994251,	867.021484,	112.371353,	740.963196,	995.324829,	2441.556152,	170.380157,	122.064346,	860.116150,	110.636543,	2501.017334,	863.891418,	728.508850,	532.577881,	2545.215576,	997.089844,	317.742310,	868.858887,	1014.636475,	2571.170898,	1010.986389,	154.099609,	1607.405273,	574.417114,	786.007446,	861.436157,	2549.064209,	1000.959778,	822.364380,	55.117809,	572.655457,	1640.395752,	236.553009,	]
[ 2199.841064,	2610.596436,	574.364868,	407.507904,	2416.501953,	2520.786865,	48.994251,	0.000000,	870.349854,	77.249931,	735.497131,	1038.007202,	2486.273438,	154.503647,	75.372643,	875.303711,	70.898819,	2541.240967,	867.883240,	748.991455,	567.412598,	2585.282471,	1039.702637,	315.676025,	871.982849,	1057.530151,	2610.596436,	1053.548584,	136.775894,	1624.745483,	567.812256,	802.383606,	882.829590,	2585.405273,	1043.582153,	864.277405,	13.337559,	565.899048,	1678.237061,	249.010559,	]
[ 1537.522949,	2119.501465,	536.863159,	516.264893,	2176.712891,	1946.152466,	867.021484,	870.349854,	0.000000,	812.411560,	193.464188,	898.181152,	2176.718506,	723.047852,	851.160095,	212.378799,	926.959106,	2075.844971,	12.014615,	315.557465,	581.798279,	2112.955811,	896.855164,	555.574402,	4.002488,	916.970520,	2119.501465,	903.382690,	740.481628,	821.962524,	329.937622,	236.331100,	329.523743,	2021.203125,	899.462646,	784.787109,	858.389160,	332.437561,	1227.401855,	632.713318,	]
[ 2178.081787,	2609.004150,	561.800659,	377.364532,	2437.079346,	2510.194336,	112.371353,	77.249931,	812.411560,	0.000000,	669.484802,	1048.163330,	2501.119629,	89.377457,	43.575146,	831.990112,	115.117897,	2541.844971,	810.675903,	714.271118,	560.934753,	2585.426270,	1049.637573,	257.460815,	813.818604,	1068.276978,	2609.004150,	1063.277710,	72.155472,	1582.468262,	501.581024,	761.148315,	848.705078,	2576.208252,	1053.532349,	872.877808,	64.366226,	499.546692,	1673.588623,	213.602676,	]
